id,sentiment,tweet
86,negative,"""""""مُرتَدٌّ أنا عن حُبكِ و إن أهدرتى دمى المُباحُ ، فإن كان الإيمَانُ فى قُرَبكِ فالكفر بكِ فَلاحُ !"""""""""
88,negative,"""\""""@do_dy89: صعبه لما تفتكر انك مهم عند حد وف الاخر تكتشف انك كنت غلطان\"""" http://t.co/De82zZpxeL"
90,neutral,@weaamhilali  هاتيهم اخرج بيهم انا
92,negative,@Mohamed_Helmy_T انا مضايق قوي ..  بصوت فداء
93,negative,الحرية لﻻولتراس الحرية للمدرج الكورة للجمهور يا داخلية وسخة
98,negative,ده قالي في يوم يا حبيبتى خدي القمر  ورحت معاه ومااداني إلا السهر
100,neutral,ومين في مصر مابيحبش يرجع البيت يلاقي الغدا مكرونة وفراخ بانيه ؟؟
101,negative,وخيمت عيناك بليلى -------- وغادر نبضك عالمى ---------- عيناك منسيتان
103,positive,@teamah77 @medhat65 ربنا يحفظك من كل شر و يبارك فيكي
104,neutral,جيل الايباد بمناسبة الامتحانات مامته بتقولوا ذاكر عاوزاك تاكل الكتاب اكل قالها هاتى كوباية ميه واعملى شاى علشان احبس ههههههههههههههههههههههه
105,negative,@sarrranagi إنا لله و إنا إليه راجعون  طب ممكن لينك المكتب الحقوقى
107,negative,دا الدين في عرف الحر هم و مذلة و مر
112,negative,@monyadel982 @DesoukyAya اه والله حرقوا دمنا يلا بنحب مجانين
113,positive,قرب من ربنا وهتقرب منك كل حاجة حلوة ♥
114,positive,#KirazMevsimi #MohammadChahine  ياريت نكسف التصويت على رقم 2222222 للصوت الدهبى http://t.co/uNmOarkblk
115,positive,ومن تانى اكيد راجعين انا دايب وكلى حنين
119,negative,اللي يشوفها في الشارع ميشوفهاش ع الانستجرام
120,negative,من ٤ سنين اتفرجت ع مسلسل برغم اني بكره المسلسلات ان واحده تتعمي واللي بيحبها يروح يدرس مخصوص طب عيون علشان يعالجها ده قهره جماعيه يا جماعه
122,negative,@CBCeXtra افلح أن صدق والمقصود..(قطر(
123,neutral,قاعدة الصحاب في نص الاسبوع بتقرب اكتر من قاعدة اخر الأسبوع
124,neutral,"""""""\""""@seksek: هذه الدنيا كتاب انت فيه الفكر، من القائل\"""" الست"""""""""
126,negative,دلوقتي جاي بتلعب على الي خبزك وعجنك !
127,negative,"""@hanaa35 الخوف بألف نصل ---- كل نصل ينغرس فى حلم قادم ---- فتسود حالة نزف لكل الأحلام ---- ويسود البحث عن ذرة أمان \"""" وآمنهم من خوف \"""""
128,neutral,الستاذ امير طعيمه اتصور سلفى مع شاهين ومينا بجوار كاس لقب ستار اكادمى ♥  #MohammadChahine
129,negative,انت اخر واحد ف الدنيا ممكن شيرين تبكى عليه .. انت فاهم !
132,neutral,@aaaahmad21  طبعا اهم من الكتابه والاحساس الاملاء الشيء لزوم الشيء  ..^^
133,positive,@sohamorsy مساك أروع
135,neutral,@sSoOma17 فى حد بعت هداي لشيرو
138,neutral,كنترووووووووول نادوا دعاء بقى #StaracArabia #DoaaElSebaii
143,positive,كنت بائس من حياتى وحزين الساعه12 لكن دلوقتى متفأل ومبسوط فشخ  سبحان مغير اﻻحوال
144,neutral,اوعي تستسهل ماده
147,negative,ماهو خلص الفيلم اللي كتبته علي عكس ما كنت انا بتمني .. دا انا كنت في حبك من الاول ابليس متعشم في الجنه
148,negative,انا من كتر الانشغال حاسس ان في وقت اجازتي كائن غريب في بيتي بتعرف علي الاسرة من اول وجديد
149,negative,اه علي الجامعة و امتحانات الجامعة
154,positive,@Dinaelhendwy فعلا صح عندك حق الله يرحمك يا امى
156,negative,تيجى عليه يابن الاحبى بورده   ....يسلم على كس امك
158,positive,@NightStars777 ربنا معاك ان شاء الله
160,neutral,سهام الليل صائبة المرامي اذا وترت باوتار الخشوع يسددها الى المرمى رجال يطيلون السجود مع الركوع
162,negative,قاطعهم وقل لهم: تباً لكم !
163,negative,راح -_-
164,negative,"""""""حين نكون مفرغين ولا نحوي إلا الخواء ، حينها سوف نكون أقل شعوراً بالألم."""""""""
165,neutral,@iMiruuzz انتي المفروض ثانوي صح؟
166,neutral,انا من يوم السبت هبدا مذاكرة ✋
172,positive,@heshamelDali تفكيرك في محله✋
173,positive,صباح جديد على اهلي فى تويتر
174,negative,طبعا انتي سقعانين وانا كمان  بس انا عرقان والسخونيه ديه بنت جزمه
175,negative,@AbyHegazy وانت من اهل ميتين امه ياحما
177,negative,كنت زمان بستنى سؤالك عني دلوقتي مبقاش يفرق.
185,positive,"""بس سيبك انت ... انا مبسوط باللى حصل انهارده و امبارح ... \"""" محدش قالى عقبالك \"""" :D =)))"
186,neutral,"""#الوطن   عبدالمنعم إبراهيم.. \""""فتافيت سكر\"""" السينما المصرية http://t.co/B3apRKiogz"
187,neutral,فرقوا بين الناس اللي بتحبكو و فارقين معاهم و بين اللي انتو بنسبه لهم ولا حاجة
190,negative,"""""""@MohabE_ لأ، عرص"""""""""
192,neutral,المشكلة ان انا لسه جعانة بجد :D
195,neutral,@Alshaikh2 شاعرنا المحترم يعنى اية العيون االممكنة اة تعنى كلمة ممكنة مش فاهمة حاجة ممكن رد
203,positive,و يا رب عدلها.
206,negative,انا كل ما اعرف حد ابن ناس يطلع يا كان صايع وربنا هداه يأما ابن ناس وحد على افاه فا هيبقى صايع  طب ليه كده طا
207,positive,@lmooos_7 @Tomi987123 @safi2332 يلا تصبحوا ع خير♥♥
209,negative,@samezabi @rim0o01 اصلا مسلسل الشمال والجنوب ده بكرهه كله علي بعضه كفايوة فانزه الغتت
210,positive,نحن على بعد خطوات بسيطة من تحقيق حلم شاهين كلها يومين والحلم يتحقق  تخيلوا الفرحه على وشوشهم يوم اعلان النتيجه بفوز شاهين  #MohammadChahine
211,negative,مبحبش ابين اني مضايقة والله بس بيبان عليا و بقلب وشي من غير قصد
212,negative,@dodokemo98 @nona24_nona حسبي الله ونعم الوكيل :(
213,positive,احنا الزمالك احنا ولا نسيتوا :P
215,negative,@kamilia27644962 @cerinelle @mscallstephany @negoombookra @BRNSESREM  ربنا يهديكي
216,positive,وقلبي نبضه صوت نبضك..
218,neutral,ياسمين حمدان - لا مش أنا اللي ابكي
220,negative,فيه شخصيات فى حياتى موجودة بس عشان تحرقلى دمى.
221,negative,@FOmar050280 @9633656hhh استغفر الله العظيم
223,positive,تحلو مراره عيشي في رضااالك .............
227,negative,اهون عليكي تهونى عليا  يالا ف داهيه :) #كرهتك
229,positive,@Mawada_Hashim - هتنجحي خلاص نامي و ضميرك مرتاح
230,negative,ورأيا امتحان ابن جزمة كمان خمس ساعات و مش ناقصة
231,positive,@ZohooZohor @AaAaasads الحمد لله
233,negative,"""""""#عن كام مره حبيت صدفة ، و كام مره لعنتها ."""""""""
236,positive,"""\""""@reeem12345s: كَثيرهہ هَيّ آمآنينآ فَ يآربَ حققّ         مآ ترآهُ خيراً لنآ..ويسعدنا♡~ ” http://t.co/3mF5fbSLaG\"""""
238,positive,ليث نايم وفرحنا اننا شوفناه بيضحك الاكاديمي هتخلص بكرة احنا فاضين دلوقتي ع التصويت بليزز #LaithAbuJoda ليث أبو جودة
239,positive,ان شاء الله نصبح علي خير :)
240,negative,@shababic اعلام ابن ميتشين كلب :)
241,positive,"""""""اللهم طهر قلبي من كل ضيق، ويسر لي أمري في كل طريق"""""""""
243,negative,"""\""""بوح  ياحادي العيس وينك غايبٍ  مده اليوم لاعيس لاصحرا  ولا حادي  ماغير ذكرى تهز القلب ٠٠وتهده واقول عادي وهو والله مهو عادي  ٠ ٠ #ذلك_الرجل\"""""
244,positive,انت اول حب واخر حب هعيش وياه... واللى بينى وبينك احساس اكبر من معناه
246,negative,@meroobas اه التييييييت بس احنا سرقنا صور كتييييير  هطلع عليهم النكد كله
247,negative,الفكره اللي ماخذينها عني؟ رجعوها والمره اليايه لا تاخذون شي مو لكم عيب هالحركات
250,negative,"""""""انا فضلت متمسمره :  للدرجة دى انا مبحسش اسأله طلعت فى راسي وطفيت الاغانى وبعدين قولت طب وانا هعمل ايه وشغلت الاغانى تانى :\"""""""""""""
252,negative,الشـتـا  مبيسيبـش حد سعيـد ..
253,negative,آنا كدا خلاص آخري جاب آخره مني .
254,negative,@DrBassemYoussef باسم يوسف انت خول وامك عارفه
256,negative,بس انا لو غبيه كنت هرتاح المشكله اني بتغابي  و لو بنسي هرتاح برضو المشكله اني بتناسي و مش بعرف اسامح كمان و مفرمله نفسي اني انتقم
257,positive,@memoo_f151 تسلمواااااااااا
266,positive,@balawi2 وانا من الناس يارب واشتقت الى بيتك الذي وضعته لنا .. فاللهم ارزقنا زيارته
268,negative,@DesoukyAya @meroobas همسكهم الاتنين و اخبطهم في حيطة و نبدأ على نضيف
269,negative,"""""""انا المفروض اروح الكليه بكره، اللي هو النهارده الصبح يعني عشان ادفع المصاريف عشان مش هدخل الامتحان لو مدفعتهاش :\""""D"""""""""
270,neutral,اللي ميخافش من ربنا .. خاف منه
273,neutral,@yosraabdelwaha2 انتي منين اصلا وعايشه فين
274,neutral,صلاه الفجر
276,neutral,@omarhamdino هل المشكله بتواجهك فى مكان محدد ولا اى مكان ؟ وبالنسبه لخدمة ال3G ايه علامة التغطيه الخاصه بالانترنت اللى بتظهر لك ؟ Zahran
278,positive,@Ahlam_Alshamsi اللهم تقبل منا ومنكم صالح الأعمال
279,negative,ممكن حد يكرهك بمجرد انك محبوب لناس كتير
280,positive,@wahetaleslam كل سنه وانتى طيبه  يامديره واحه الاسلام وربنا ىزيدك نور ورفعه انتى والمنتدى بتاعك اتمنى لكم كل الخيرات واارفعه على الدوام
285,positive,اللهم بشرنا بشارة خير لم نتوقعها ولم نكن نحلم بها ورزقنا رزقاً لم نسألك اياه ولم يخطر ببالنا وجنباً شراً انت اعلم به منا ياحي ياقيوم
286,positive,@Abas68Said ياصباح الفل..
290,negative,@meriem_Hd4  حد قالك انك واحدة وسخة بلوووك
291,negative,@Maroc_tiskat22 اة دة هدفك يعني من القصة انك تعملي فتنة صح متخافيش فانز سلوم وفانز بسوم واحد وياما عدت اشكال زي دي ومأثرتش فينا
292,negative,"""\""""@3asheg1972: وكنتُ أزعم مثل الناس إذ زعموا .. بأن من غاب عني غاب عن بالي واليوم كذّبني قلبي وكذّبتهم .. فارقتهم..وأقاموا بين أوصالي\"""""
300,positive,@rowaf @Bahraini_ADV وان يرزقك خدمتها علي اكمل وجه ويكتب الله لك الثواب
301,negative,كنت بحب المذيعة دينا عصمت لما كانت على قناة النيل للأخبار و أون تي في. للأسف مستواها نزل على سي بي سي إكسترا. كانت قارئة نشرة ممتازة.
302,negative,انا خلاص قررت مش هذاكر حاجه غير ليلة الامتحان عشان كل مااذاكر حاجه انساها تاني ... كفايه تضييع وقت ف المذاكره بقي :/
303,negative,كنت واقفة في البلكونة بدري كدة فلقيت عامل النظافة منضف الشارع يادوب طلع لأول الشارع ورجع تاني قام منضف تاني ولا هو #الاستهتار_اسلوب_حياه
304,positive,عيونها يتالف فيها اشعار
307,neutral,سبحان الله وبحمده . http://t.co/bqDZM9LMUd
308,negative,أرموهم في أعماق البحار حتي تشتت الأمواج أشلائهم ..
309,negative,وأتارى المحاسبة غداره غداره .
313,negative,#عن الناس اللي عايشة عشان توجعك و بس
318,positive,"""""""وضوءك لصلاة الليل وصلاة الفجر ، مع شعورك بالبرد  هذه القشعريره كفيلة بنسف جبال الخطايا التي قد تحملها ♥"""""""""
321,positive,@3nTbly صباح الورد يا عنتبلي بيه !
323,neutral,حد هنا شغال في بنك QNB
324,negative,@Msraweya اه و الله تعبنا فشخ
325,positive,يحيى لس مكلمنى مصتقدش إنه لسه حى ممتش
330,neutral,وجهة نظر برده
334,negative,&gt;.&lt;أصبح الوضع ﻻ يطاق
339,negative,"""\""""@AymanNour: http://t.co/wF7BlZD1XD في أول تصريح له السبسي يطلب تفويضا من الشعب لمواجهة إرهاب محتمل!! (واضح أن الكتلوج واحد)\"""""
341,neutral,#كيف_ننصر_ديننا 1-السير في طريق العلم 2-الدعوة إلى الله بما معك من العلم 3-إن لم تستطع فكن محباً للعلم وأهله @Betaqadaawia
344,negative,مشكله اااي #بت انها عايزه الواد #يهتم بيها ال24 ساعه حتي وهو #نايم #الرحمه_حلوه
345,positive,@nadamuhamed16 يا ريت كلهم زيك يا بنتي والله
346,positive,صباحووو ^_^
347,negative,"""#القرضاوي مهاجما #قطر: لا يحتفلون بالمولد النبوي ويحتفلون بـ\""""الكريسماس\""""  ماانت عايش في قطر من السينات لسه واخد بالك دلوقتي"
349,neutral,#الوطن  بالفيديو  #القرضاوي يهاجم #قطر: لا يحتفلون بالمولد النبوي ويعتبرونه بدعة  http://t.co/C7UK8dwc1V
350,negative,طريقك مسدود مسدود يا ولدى  *بصوت سعيد صالح*
351,negative,@EgyptianPolice0 طيب ياشرطة يامصرية في كتير اخوان في المصالح الحكومية وعاملين شغب والمديرين بتخاف منهم وبيعملوا فتن واجتماعات
353,negative,ده انا كنت ناسي والله ورجعني الحنين .... وتحت شباكك بيرميني الحنين :/
355,negative,@AymanNour انقلاب اية ربنا يقلب مصرانكم ان شاء الله
358,negative,احا .. يعنى صاحى على بليز كول مى وقولنا ماشى انما ملاقيش علبه السجاير .. احا بجد دا انا شارب منها سجارة واحده بس
361,negative,السنة ملهاش دعوة بنجاحك وفشلك والحقيقة انك فاشل عشان انت خول وعلق مش عشان انت سئ الحظ او قوانين الطبيعة والزمن بيتامروا عليك صانع الساعات
362,neutral,"""""""قال رسول الله ﷺ \""""لاتقولواللمنافق:سيدنا،فإنه إن يك سيدكم فقدأسخطتم ربكم-عزوجل-\"""". [الصحيحة:371]"""""""""
363,positive,يَا رب  أمنحني قلب مبتسمَ يُسعد ﻣن حولي وَ آغمرھہ بَ آلقوّھہ وَ آﻟصبر  حتى لآ ﻳضعف آمآم شيء  [ سوآك ].. صباح الخيرات http://t.co/NwSmaSaI1r
365,negative,"""Mama said:\""""هتيجبي ملاحق يا هيدي \"""""
366,negative,@ameeallam الثانوية دى بتنمى الغباء
369,neutral,لا تطلب من الله مالا تستطيع تأدية شكره أو تحمل عبئه .والا. فلما ءاتاهم من فضله بخلوا به...... فأعقبهم نفاقا في قلوبهم إلى يوم يلقونه
371,negative,مش ينفع تكون متعاطف او مؤمن بفكرا او رآي او شخص او حزب او كيان.. الخ وتقارنه بشبيه  ولكن متناقض مع الشئ دا.. لن تكون منصف بالمرا :-)
376,positive,وَلَسَوْفَ يُعْطِيكَ رَبُّكَ فَتَرْضَى ﴿٥﴾ أَلَمْ يَجِدْكَ يَتِيمًا فَآوَى ﴿٦﴾ وَوَجَدَكَ ضَالًّا فَهَدَى ﴿٧﴾وَوَجَدَكَ عَائِلًا فَأَغْنَى
384,neutral,#المصدر  #الروبل_الروسي يتراجع 0.7 \% أمام الدولار  للمزيد :http://t.co/eQntVOB4uc http://t.co/RDHwJ6kxdO
385,neutral,"""#المصدر  \""""#برنت \""""يتراجع باتجاه 61 دولارا للبرميل في التعاملات الاسيوية  للتفاصيل :http://t.co/HspdXCeuhw"
386,positive,@LonaloloLona ♥ ♡مساااااااء_الخيراااااات♡♥
394,neutral,قم بتجهيز ملعب #نجيل_صناعي كامل متكامل مع #بيبا_سبورت بأقل سعر وضمان 8 سنوات http://t.co/zvM0NiRvqx 01027399960 - 01027399962
396,positive,فؤاد المهندس و شويكار !
400,negative,موديول منحس من اوله
401,positive,"""\""""@JassmineHady: لك الحمد ربي عدد خلايا أجسادنا المتعافيه وعدد أيامنا التي لا نشكوا فيها وعدد نعمك التي لا نحصيها  #الحمدلله\"""""
404,positive,حفظ الله مصر http://t.co/mz6YSoxpRn
405,positive,"""""""شكراً لأنك في حياتي ، شكراً لأنك حياتي  صباح الحب ❤"""""""""
406,negative,الملل بالنسبالى اشبه بالموت
407,positive,وتعيش يا جيش بلادى http://t.co/U1BVnYvvVO
408,negative,علبه كشرى وسط ب 6 جنيه !!!! يعنى لو اربع افراد ب 24 جنيه !!! بلد مفيش متها امل ..
410,positive,اصاله دى حاله جميله
417,neutral,@Q55665 اريد عمل اناسائق
424,neutral,سأبتسم في وجه من يكرهني فان لم أكسب محبته سأنجح في فقع مرارته  #تمثلنى وبشده
425,neutral,@lolo00o3 @yazn200077 هما بقوا بيتكلموا مع بعض شكل دعاء اصلا متعرفش ايه اللى حصل وهى بره مشفتش حاجه #DoaaElSebaii #StaracArabia
426,positive,@StaracArabia @Mohammad_Cha 222222222222222222222222222222222222 اللقب لا يليق الا بك يا شاهينووووووووو
427,negative,@MawlaNa92 يسطى تمام مفشوخ ف شوية امتحانات عملي و خرا اهم حاجه تكون مبسوط ياسطا
429,negative,@sarahesham3 والله كدابين ما انا ميزان اهو
430,positive,@sso2166 السلام عليكم ورحمة الله وبركاته اهﻻ وسهﻻ شرفت بمتابعتك
431,negative,أحا أحوه كس أم حسام وأخوه
432,positive,الاهلى ♥
433,neutral,"""#الوطن  غادة عبدالرازق تنشر صورتها بـ\""""اتحاد الطلبة\"""" وناشط: مربية أجيال وأجيال  http://t.co/CyGfw7KbXU http://t.co/t1jsF4uF6L"
434,positive,الحمد لله على نعمه المناخير الصغيره
438,neutral,@saraaser2 حساب شيرين يحيى http://t.co/POngJqePzD  http://t.co/7zs1QR5eyi  http://t.co/p696ECH0wx … … #ShereenYehia #StaracArabia
439,negative,الدكاترة desgin نفسى افهم انا شغال معاك من اول الترم و طالع عين اهلى تيجى بت اخر الترم تنزلك دمعتين تحطلها مشروع تقديره امتياز ! #قسم_ دراما
440,positive,@na7lat ربنا يخليهولك ويسعدكوا
444,positive,@nassersaly @nohasamah1 الله واكبر على رنوووشتنا ربنا يكتر من لقاءتك يارنا اخنا مابنشبع منك ابدا وربنا يوفقك يارب وتكون البر مطربة فى الوطن
446,negative,"""أنا نفسي مرة أجرب أكون ليك حد أقرب :\"""")"
447,negative,انت موجود في خيالي اكتر مانت موجود في الواقع
449,negative,@YasminMahfouz انها حبوب منع الفهم
456,negative,والله كنت ناوي اذاكر بس واضح ان مفيش نصيب.
461,positive,هلا http://t.co/VJUTCLUkXY
465,positive,@ranasamaha9t كل سنه وليبيا بخير
467,negative,مش كفاية اسمك عجيب و كمان عامل الشكل دا #ايساف &lt;&lt;&lt; #اسفاف http://t.co/LIJdwhj0PK
468,neutral,محاسب يحاول الانتحار بإلقاء نفسه أمام المترو لعجز مليون جنيه بعهدته    http://t.co/17SJpac1KI
470,positive,فى يوم. هنعود دا بنا وعود وف غيابو اكيد لسة الامل موجود
473,negative,"""""""@Fadyxplod ما عربى بيطلع عنيهم بردو :\"""""""""""""
478,positive,اضحك والضحكة تبقى ضحكيتين واتنين ف اتنين فى اتنين
481,positive,@KHIRY97 هههههههههههههههههههههه صح والله
482,positive,@Ahmed_abualy وانت بالف خير  ميرسى يا احمد
483,positive,#StaracArabia واحلي تحيه لاولاد بلدي اجمد ناس المصريين وصحابهم اللبنانين طبعا حد هيسال وكنوزه  مقلتش كنزه لان حسبتها كمصريه لانها بنتنا كمان
484,negative,ال كان بيبعتلك ويسال عليك  بعد فترة لما يشوف رسالتك وميردش عليك معناه ان الشخص ده معرفه وسخه من الاول
491,negative,@hussein_kabalo بس يا زملكاوي يا عرص
493,negative,#MinaAtta  فانز مينا ليه كل مسابقه فيها تصويت نايمين فيها صوتوا لمينا هنا بقا http://t.co/cxUrwACacI
494,negative,رنوشتي ايه رايك ف صورتك مع فكتور نفس صور الحفله بس مش عارفه انتي بتبقي زعلانه كده @ranasamaha9t http://t.co/IDNSyM8lYF
497,neutral,تشكيل الأهلى : مسعد عوض شريف عبدالفضيل سعد شريف حازم لؤى وائل غالى رزق السعيد سليمان تريزجيه متعب
501,negative,لو كل واحد يخليه فحالة بس!
502,negative,عامة الطريق كمان كان واقف واقفه طين و لسه داخل زايد اهو..يوم لاتيف
503,negative,جاريدو بيهرج والله
504,negative,أيمن يونس ده رغاي فشخ وحورتجي
506,negative,باعو قصر البارون ب6مليون جنيه  وده تمن حته  ارض في اوسخ حته في مصر  قالك عصر مبارك 30سنه سبب الخراب اخرص ياعرص
508,neutral,حفل نانسي غدا #مصر فى جاردن سيتي فندق InterContinental Cairo Semiramis ... @NancyAjram https://t.co/LYYmKCj62a http://t.co/BJN46WPQ6d
510,neutral,فورد توورس من #بوابة_المصدر شاهد الاعلان بالكامل من هنا http://t.co/ClLZBNGS7r   2 http://t.co/qxhE9c9Pcv
514,positive,انصرنا انصرنا يارب انصرنااااا
516,negative,بنكدب لما نتكلم عشان عارفين لو اتكلمنا جد هنفترق بعدين
518,neutral,دماغي اللي شغالة 24 ساعة
519,positive,@Hebah20Hh @horra1234  لا ده عشان عيونك حلوه فشافت الصور جميله
520,positive,و السلام عليك ورحمة الله وبركاتة  وجووووووووول للاتحاد =D
521,negative,استر يارب من أولها بركاتك يا ابن الفقريه .
523,negative,ما تسترجل يا ابن بت المرة الخول انت وهو
525,negative,مبقتش بعترف بكلمه انا اسف ديه
529,negative,الكلاكس  آلة تنبيه ٠٠لكن فى مصر٠٠ آلة ازعاج  ياريت ينزع من السيارات ولو لمدة ستة أشهر  لان عدم وجوده بالسيارة يجبر قائدها على السير بادب
530,positive,ياارب يا عالي انصر #الاهلي الغالي
531,positive,حبيبى انا لك وبين يديك  إدخلنى بين ضلوعك ضمنى بقوة اعتصر  ضلوعى ونبضى   يحضن نبضك
534,negative,يا غالي متطلعش دين أبونا
535,positive,يا قبلتي في صلاتي إذا وقفتُ أصلي ❤
536,negative,2-1من الرجاء 0-0من الاسيوطي 0-0من الإسماعيلي 0-0من وادي دجلة ودلوقتي 1-0من الاتحاد.. الأهلي مش فوق الجميع الأهلي فوق بتاع أندية الدوري
540,negative,@MahmoudSamyo والله وانا لة فاكر ماتش الكأس مع الرجاء اللى كسبانه بالعافيه قولت دة فاشل
542,negative,أقسم بالله نادي ابن وسخه كل ما يبقوا خسرانين ولا متعادلين الفرقه كلها تنط ف ال18 علشان تاخد ضربة جزاء حاجة قرف
543,positive,العب يا اخضر
544,negative,التصوير و الاخراج في الماتش بتاع الاهلي زفت اوي
547,negative,انا استحمل أي حاجه بس حسام حسن ميكسبش الأهلي
548,negative,يا ولاد المحظوظه كوره زي دي تتلعب بالشكل ده وتيجي فى العارضه كسم الحظ وتترد بكوره زي دي وتطلع بره فى حظ فى الدنيا كدا ؟
549,negative,@nour_el_din_ حاجة وسخه.. هارميه فعلا لاني زهقت!!
550,neutral,عائله ناظم بيك http://t.co/4zijiZ4jLv
551,positive,عععععههههههههههه التاني ل الاتحاد ههههههههههههههه هههههههههههههههه
554,negative,ايه المعلق إبن الكلاب ده ؟!
555,neutral,@NadaAhmed10022 @AhmedSamy012 توء توء
556,negative,@lolaelamrawy عته والله
561,neutral,بدات الحن النشيد
563,negative,احاااااا .. شريف حازم جاله شد .. قام حاسبله فاول
564,neutral,"""""""هذه هي بعض الثوابت التي يجدر بِنَا التعلق بها في زمن الفتن والمحن والتقلبات، فهي من قول الله، وهي من وعد الله، ولا يخلف الله الميعاد."""""""""
565,negative,بكره الأتحاد بكرهووووووو
567,neutral,"""""""لو مشينا بمدأ ربنا بيوقع الناس اللى شبه بعض أو بيكملوا بعض ، مش هلاقى حاجه من دول تتحط جنبى غير شبهى وهنطلع عين بعض ، ففاكس ما تعملش كدا"""""""""
571,positive,لا أُريد المُستَحيل فقط اريدكِ انتِى ثُم قَلبك ثٌم حُضنك وكفى http://t.co/9d9I0X8XcU
572,positive,@Ladynanooos @Hazem__Azim @eelsehabi الحمدلله الذى كشف عن مصر الغمة وأنقذها منذ هذه العصابات
574,neutral,@nanaok1234 @mona123m98 لا موجود يا شقيقتى
580,negative,عامهً خسر تريزيجيه هجومياً وكمان كفةئته دفاعياً قليله
582,negative,انا سـآكـنة ف ألآسكًـآ :/
585,positive,مَا كَانَ قَلْبِى فِي مَـدِيحِكَ يَشْتَفِي  أَوْ يَكْتَـفِى بِفَصَاحَةِ البُلَغَـاءِ
587,negative,ليه يا عم جاريدوا حتشمت فينا ولاد ال**** البوابين
